,name,price,original_price,reviews,Rating,Bank_offers,discount_percent
509,"Noise Aura Buds with Dual Device Pairing, 60 Hours of P...",1499.0,4499.0,173.0,4.0,Bank Offer,66.6814847743943
510,"TRIGGR Ultrabuds N3 with Crisp Calling, 50H Playtime, 1...",699.0,1999.0,173.0,4.1,Bank Offer,65.03251625812906
511,"TRIGGR Kraken X4 with 13mm Drivers, 40ms Latency, ENC, ...",799.0,3999.0,173.0,4.0,Bank Offer,80.02000500125031
512,"Noise Aura Buds with Dual Device Pairing, 60 Hours of P...",1499.0,4499.0,173.0,4.0,Bank Offer,66.6814847743943
513,"Noise Buds Verve 2 with 50Hr Playtime, ENC, Quad Mic & ...",1499.0,3999.0,173.0,4.0,Bank Offer,62.515628907226805
514,"boAt Airdopes 800 w/ Dolby Audio, 4 Mics AI-ENx Tech, T...",1599.0,6499.0,173.0,4.1,Super Deals,75.39621480227727
515,NS WORLD PRO 6 Airbud Tws |MaxPower|HD Sound | BT Earbu...,275.0,1400.0,173.0,3.7,Bank Offer,80.35714285714286
516,"Number Super Buds GTS9 w/Monster Led Light,70H Playtime...",1099.0,5999.0,46.0,4.3,Bank Offer,81.68028004667445
517,"GOBOULT Astra with Quad Mic ENC, 48Hrs Battery, Made in...",1199.0,3499.0,173.0,4.1,Bank Offer,65.73306659045441
518,"boAt Airdopes 71,40 H Battery, ENx Tech, Low Latency, S...",899.0,3990.0,173.0,3.9,Bank Offer,77.468671679198
519,"Mivi Duopods K6, 50Hrs PT, HD Call, Fast Charging, 50ms...",999.0,3999.0,173.0,3.9,Bank Offer,75.01875468867217
520,"GOBOULT Tenet 75Hrs Battery, App Support, Dual Pairing,...",1299.0,5499.0,173.0,4.0,No Offer,76.37752318603383
521,Caidea TW121 Pro Pods Upto 40 Hrs Playtime* Type C Fast...,265.0,1299.0,923.0,3.5,Super Deals,79.5996920708237
522,TECHIO Earbuds Bluetooth,246.0,1299.0,526.0,3.6,Bank Offer,81.06235565819861
523,"ORAIMO FreePods Lite Earbuds with 40Hr Playtime,Custom ...",299.0,2999.0,173.0,3.8,Hot Deal,90.03001000333445
524,"JBL Live Beam 3, Hi-Res LDAC Audio ANC TWS, SmartCase,4...",9999.0,24999.0,776.0,4.1,Bank Offer,60.00240009600384
525,"Soundcore by Anker R50i NC,45Hr Playtime,4 mics with 42...",1499.0,5598.0,173.0,4.2,Bank Offer,73.22257949267595
526,"GOBOULT Tenet 75Hrs Battery, App Support, Dual Pairing,...",1299.0,5499.0,173.0,4.0,No Offer,76.37752318603383
527,"Caidea TW500 Tube Upto 50H Playtime*, ENC, Fast Chargin...",300.0,2999.0,173.0,3.7,Hot Deal,89.99666555518506
528,"truke Crystal Bass earbuds with 13mm Drivers, Made in I...",799.0,2999.0,173.0,4.0,Bank Offer,73.35778592864288
529,"Mivi DuoPods Storm [New launch], 60 Hrs, 13mm Drivers, ...",799.0,3499.0,173.0,4.1,Bank Offer,77.16490425835954
530,"TRIGGR Kraken X1 with Battery Display, 40ms Latency, Qu...",699.0,3999.0,173.0,4.0,Super Deals,82.52063015753939
531,Caidea TWS8 Sugar V5.4 Upto 30Hrs Playtime* Type C Fast...,299.0,2399.0,923.0,3.5,Super Deals,87.53647353063776
532,"Noise Airwave Pro with ANC, 60 Hrs of Playtime, Low lat...",1499.0,3999.0,173.0,3.8,Bank Offer,62.515628907226805
533,"Mivi Duopods I2, 45Hrs Playtime, HD Call, Fast Charging...",699.0,2999.0,173.0,3.9,Hot Deal,76.69223074358119
534,"realme Buds Air 6 Pro with 50dB ANC, 360 Spatial Audio ...",4999.0,7999.0,173.0,4.4,Bank Offer,37.50468808601075
535,"boAt Airdopes 131 Pro Buds w/ In Ear Detection, 4 Mics ...",1199.0,5490.0,173.0,4.0,Hot Deal,78.16029143897997
536,Aroma NB121 Pods Upto 40 Hours Playtime* Type C Fast Ch...,268.0,1299.0,173.0,3.6,Bank Offer,79.36874518860661
537,"GOBOULT W40 with 4 Mic ENC, 48H Battery Life, Low Laten...",799.0,2999.0,173.0,4.1,Super Deals,73.35778592864288
538,Aroma NB140 Ranger 50 Hours* Playtime |Perfect for Musi...,399.0,1999.0,173.0,3.7,Bank Offer,80.040020010005
539,TECHIO Earbuds Bluetooth,248.0,1999.0,173.0,3.5,Hot Deal,87.59379689844923
540,"GOBOULT Z40 with ENC Mic, 60Hr Battery, Metal Finish, L...",999.0,4999.0,173.0,4.1,Bank Offer,80.01600320064013
541,"Mivi Duopods B1 (Just Launched)45Hrs Playtime, AI ENC f...",599.0,2999.0,173.0,4.1,Bank Offer,80.02667555851951
542,SONY WF-C700N/GZ IN Bluetooth,6490.0,12990.0,173.0,4.0,Hot Deal,50.03849114703618
543,"HOPPUP AirDoze S40 Earbuds with 13MM Drivers, 40H Playt...",599.0,3999.0,173.0,4.1,Hot Deal,85.02125531382846
544,"Mivi DuoPods Storm [New launch], 60 Hrs, 13mm Drivers, ...",799.0,3499.0,173.0,4.1,Bank Offer,77.16490425835954
545,"NS WORLD V2.0 TWS Earbuds, 20H Playtime,IPX5,Bluetooth ...",285.0,1400.0,173.0,3.6,Bank Offer,79.64285714285714
546,"GOBOULT Tenet 75Hrs Battery, App Support, Dual Pairing,...",1299.0,5499.0,173.0,4.0,No Offer,76.37752318603383
547,"TRIGGR Kraken X4 with 13mm Drivers, 40ms Latency, ENC, ...",799.0,3999.0,173.0,4.0,Bank Offer,80.02000500125031
548,"Joker And Jordan TWS Earbuds with 100 HRS Playtime,(50m...",269.0,1999.0,30.0,3.5,Super Deals,86.5432716358179
549,boAt Airdopes 141 Gen 2 Bluetooth,999.0,3990.0,74.0,4.1,Super Deals,74.9624060150376
550,"TRIGGR Ultrabuds N3 with Crisp Calling, 50H Playtime, 1...",699.0,1999.0,173.0,4.1,Bank Offer,65.03251625812906
551,"TRIGGR Kraken X4 with 13mm Drivers, 40ms Latency, ENC, ...",799.0,3999.0,173.0,4.0,Bank Offer,80.02000500125031
552,abhi M4 Airbuds Tws | Earphone |HD Sound | BT Earbuds |...,281.0,1799.0,13.0,3.7,Bank Offer,84.38021122846025
553,"TRIGGR Rizz Duo with Latest BT v6.0, Dual Pairing, Prem...",649.0,3999.0,173.0,3.8,Super Deals,83.77094273568392
554,"Caidea TW500 Tube Upto 50H Playtime*, ENC, Fast Chargin...",399.0,2999.0,173.0,3.7,Super Deals,86.69556518839613
555,"TRIGGR Apex S2 2025, Dual Pairing, 60H Battery, Preset ...",799.0,3999.0,173.0,3.9,Bank Offer,80.02000500125031
556,"Number Super Buds GTS9 w/Monster Led Light,70H Playtime...",1099.0,5999.0,46.0,4.3,Bank Offer,81.68028004667445
